2025-04-22 17:56:05,900 [INFO] ===== Initializing Economic Simulation =====
2025-04-22 17:56:05,900 [INFO] Creating factory 0 for product FOOD
2025-04-22 17:56:05,900 [INFO] Created FOOD factory at (5, 10)
2025-04-22 17:56:05,900 [INFO] Creating factory 1 for product LIGHT_INDUSTRY
2025-04-22 17:56:05,900 [INFO] Created LIGHT_INDUSTRY factory at (10, 10)
2025-04-22 17:56:05,900 [INFO] Creating factory 2 for product HEAVY_INDUSTRY
2025-04-22 17:56:05,900 [INFO] Created HEAVY_INDUSTRY factory at (15, 10)
2025-04-22 17:56:05,900 [INFO] Creating worker 0 at (3, 7)
2025-04-22 17:56:05,900 [INFO] Creating worker 1 at (6, 16)
2025-04-22 17:56:05,900 [INFO] Creating worker 2 at (4, 2)
2025-04-22 17:56:05,900 [INFO] Creating worker 3 at (0, 8)
2025-04-22 17:56:05,900 [INFO] Creating worker 4 at (8, 12)
2025-04-22 17:56:05,900 [INFO] Creating worker 5 at (2, 17)
2025-04-22 17:56:05,900 [INFO] Creating worker 6 at (17, 15)
2025-04-22 17:56:05,900 [INFO] Creating worker 7 at (6, 11)
2025-04-22 17:56:05,900 [INFO] Creating worker 8 at (2, 15)
2025-04-22 17:56:05,900 [INFO] Creating worker 9 at (11, 15)
2025-04-22 17:56:05,900 [INFO] Creating worker 10 at (1, 18)
2025-04-22 17:56:05,900 [INFO] Creating worker 11 at (1, 19)
2025-04-22 17:56:05,900 [INFO] Creating worker 12 at (0, 17)
2025-04-22 17:56:05,900 [INFO] Creating worker 13 at (2, 1)
2025-04-22 17:56:05,900 [INFO] Creating worker 14 at (6, 17)
2025-04-22 17:56:05,900 [INFO] Creating worker 15 at (17, 3)
2025-04-22 17:56:05,900 [INFO] Creating worker 16 at (4, 17)
2025-04-22 17:56:05,900 [INFO] Creating worker 17 at (5, 17)
2025-04-22 17:56:05,900 [INFO] Creating worker 18 at (18, 18)
2025-04-22 17:56:05,900 [INFO] Creating worker 19 at (2, 7)
2025-04-22 17:56:05,900 [INFO] Creating worker 20 at (12, 4)
2025-04-22 17:56:05,900 [INFO] Creating worker 21 at (3, 6)
2025-04-22 17:56:05,900 [INFO] Creating worker 22 at (12, 18)
2025-04-22 17:56:05,900 [INFO] Creating worker 23 at (14, 5)
2025-04-22 17:56:05,900 [INFO] Creating worker 24 at (6, 9)
2025-04-22 17:56:05,900 [INFO] Creating worker 25 at (17, 16)
2025-04-22 17:56:05,900 [INFO] Creating worker 26 at (9, 6)
2025-04-22 17:56:05,901 [INFO] Creating worker 27 at (7, 14)
2025-04-22 17:56:05,901 [INFO] Creating worker 28 at (19, 8)
2025-04-22 17:56:05,901 [INFO] Creating worker 29 at (13, 6)
2025-04-22 17:56:05,901 [INFO] Creating worker 30 at (3, 13)
2025-04-22 17:56:05,901 [INFO] Creating worker 31 at (6, 10)
2025-04-22 17:56:05,901 [INFO] Creating worker 32 at (14, 1)
2025-04-22 17:56:05,901 [INFO] Creating worker 33 at (17, 13)
2025-04-22 17:56:05,901 [INFO] Creating worker 34 at (15, 6)
2025-04-22 17:56:05,901 [INFO] Creating worker 35 at (12, 0)
2025-04-22 17:56:05,901 [INFO] Creating worker 36 at (6, 0)
2025-04-22 17:56:05,901 [INFO] Creating worker 37 at (13, 12)
2025-04-22 17:56:05,901 [INFO] Creating worker 38 at (16, 5)
2025-04-22 17:56:05,901 [INFO] Creating worker 39 at (7, 9)
2025-04-22 17:56:05,901 [INFO] Creating worker 40 at (15, 15)
2025-04-22 17:56:05,901 [INFO] Creating worker 41 at (13, 16)
2025-04-22 17:56:05,901 [INFO] Creating worker 42 at (9, 8)
2025-04-22 17:56:05,901 [INFO] Creating worker 43 at (14, 2)
2025-04-22 17:56:05,901 [INFO] Creating worker 44 at (4, 0)
2025-04-22 17:56:05,901 [INFO] Creating worker 45 at (18, 9)
2025-04-22 17:56:05,901 [INFO] Creating worker 46 at (3, 8)
2025-04-22 17:56:05,901 [INFO] Creating worker 47 at (8, 5)
2025-04-22 17:56:05,901 [INFO] Creating worker 48 at (16, 8)
2025-04-22 17:56:05,901 [INFO] Creating worker 49 at (9, 5)
2025-04-22 17:56:05,901 [INFO] Creating worker 50 at (0, 2)
2025-04-22 17:56:05,901 [INFO] Creating worker 51 at (7, 8)
2025-04-22 17:56:05,901 [INFO] Creating worker 52 at (10, 1)
2025-04-22 17:56:05,901 [INFO] Creating worker 53 at (5, 15)
2025-04-22 17:56:05,901 [INFO] Creating worker 54 at (19, 12)
2025-04-22 17:56:05,901 [INFO] Creating worker 55 at (2, 4)
2025-04-22 17:56:05,901 [INFO] Creating worker 56 at (6, 13)
2025-04-22 17:56:05,901 [INFO] Creating worker 57 at (3, 11)
2025-04-22 17:56:05,901 [INFO] Creating worker 58 at (8, 1)
2025-04-22 17:56:05,901 [INFO] Creating worker 59 at (14, 8)
2025-04-22 17:56:05,901 [INFO] Creating worker 60 at (14, 10)
2025-04-22 17:56:05,901 [INFO] Creating worker 61 at (13, 3)
2025-04-22 17:56:05,901 [INFO] Creating worker 62 at (16, 13)
2025-04-22 17:56:05,901 [INFO] Creating worker 63 at (16, 14)
2025-04-22 17:56:05,901 [INFO] Creating worker 64 at (16, 17)
2025-04-22 17:56:05,901 [INFO] Creating worker 65 at (5, 7)
2025-04-22 17:56:05,901 [INFO] Creating worker 66 at (15, 9)
2025-04-22 17:56:05,901 [INFO] Creating worker 67 at (7, 16)
2025-04-22 17:56:05,901 [INFO] Creating worker 68 at (12, 2)
2025-04-22 17:56:05,901 [INFO] Creating worker 69 at (10, 15)
2025-04-22 17:56:05,902 [INFO] Creating worker 70 at (16, 6)
2025-04-22 17:56:05,902 [INFO] Creating worker 71 at (6, 1)
2025-04-22 17:56:05,902 [INFO] Creating worker 72 at (18, 6)
2025-04-22 17:56:05,902 [INFO] Creating worker 73 at (8, 8)
2025-04-22 17:56:05,902 [INFO] Creating worker 74 at (9, 9)
2025-04-22 17:56:05,902 [INFO] Creating worker 75 at (16, 16)
2025-04-22 17:56:05,902 [INFO] Creating worker 76 at (13, 18)
2025-04-22 17:56:05,902 [INFO] Creating worker 77 at (8, 4)
2025-04-22 17:56:05,902 [INFO] Creating worker 78 at (12, 6)
2025-04-22 17:56:05,902 [INFO] Creating worker 79 at (5, 3)
2025-04-22 17:56:05,902 [INFO] Creating worker 80 at (0, 1)
2025-04-22 17:56:05,902 [INFO] Creating worker 81 at (2, 10)
2025-04-22 17:56:05,902 [INFO] Creating worker 82 at (7, 11)
2025-04-22 17:56:05,902 [INFO] Creating worker 83 at (18, 8)
2025-04-22 17:56:05,902 [INFO] Creating worker 84 at (2, 11)
2025-04-22 17:56:05,902 [INFO] Creating worker 85 at (18, 14)
2025-04-22 17:56:05,902 [INFO] Creating worker 86 at (5, 8)
2025-04-22 17:56:05,902 [INFO] Creating worker 87 at (15, 13)
2025-04-22 17:56:05,902 [INFO] Creating worker 88 at (18, 12)
2025-04-22 17:56:05,902 [INFO] Creating worker 89 at (6, 8)
2025-04-22 17:56:05,902 [INFO] Creating worker 90 at (8, 0)
2025-04-22 17:56:05,902 [INFO] Creating worker 91 at (19, 18)
2025-04-22 17:56:05,902 [INFO] Creating worker 92 at (15, 16)
2025-04-22 17:56:05,902 [INFO] Creating worker 93 at (7, 7)
2025-04-22 17:56:05,902 [INFO] Creating worker 94 at (18, 16)
2025-04-22 17:56:05,902 [INFO] Creating worker 95 at (6, 7)
2025-04-22 17:56:05,902 [INFO] Creating worker 96 at (14, 19)
2025-04-22 17:56:05,902 [INFO] Creating worker 97 at (1, 11)
